建立者,時間,更新者,更新時,狀態索引,狀態描述,自定義唯一鍵,代碼1,欄位,屬性,欄位值,條件,目標值,代碼2設定,代碼2,觸價後取消其他觸價監控,滿足單一條件即執行策略新倉,滿足全部條件再執行策略新倉,滿足單一條件即執行策略平倉,滿足全部條件再執行策略平倉,監控開始,監控結束,註解
"ButtonSaveTriggerRule_Click","2022/05/02 17:43:12.663186","UpdateStatus","2022/05/02 17:43:12.710198","0","等待中","01","MTX05","成交價","DealPrice","0.00",">=","0.00","-5.00","TSEA","01,02,03,04,05,06,07,08,09,10,11","11","","","","2022/05/02 08:45:10.000000","2022/05/02 13:44:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:40:47.047443","UpdateStatus","2022/05/02 17:40:47.096500","0","等待中","02","MTX05","漲跌","UpDown","0.00",">=","10.00","","","01,02,03,04,05,06,07,08,09,10,11","11","","","","2022/05/02 08:45:10.000000","2022/05/02 13:44:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:41:57.420729","UpdateStatus","2022/05/02 17:41:57.488748","0","等待中","03","MTX05","漲跌","UpDown","0.00",">=","10.00","","","01,02,03,04,05,06,07,08,09,10,11","11","","","","2022/05/03 15:00:10.000000","2022/05/03 04:59:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:45:15.434550","UpdateStatus","2022/05/02 17:45:15.518182","0","等待中","04","MTX05","開盤與前盤收盤價差","OpenLastCloseUpDown","0.00",">=","25.00","","","01,02,03,04,05,06,07,08,09,10,11","11","","","","2022/05/02 08:45:10.000000","2022/05/02 08:48:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:46:09.640515","UpdateStatus","2022/05/02 17:46:09.700357","0","等待中","05","MTX05","開盤與前盤收盤價差","OpenLastCloseUpDown","0.00",">=","25.00","","","01,02,03,04,05,06,07,08,09,10,11","11","","","","2022/05/02 15:00:10.000000","2022/05/02 15:03:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:47:35.382320","UpdateStatus","2022/05/02 17:47:35.441642","0","等待中","06","MTX05","成交最低價差","DealLow","0.00",">=","25.00","","","01,02,03,04,05,06,07,08,09,10,11","11","","","","2022/05/02 08:45:10.000000","2022/05/02 13:44:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:48:29.772347","UpdateStatus","2022/05/02 17:48:29.848732","0","等待中","07","MTX05","成交最低價差","DealLow","0.00",">=","25.00","","","01,02,03,04,05,06,07,08,09,10,11","11","","","","2022/05/02 15:00:10.000000","2022/05/03 04:59:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:50:21.415419","UpdateStatus","2022/05/02 17:50:21.472294","0","等待中","08","MTX05","開盤與前盤收盤價差","OpenLastCloseUpDown","0.00","<=","-25.00","","","01,02,03,04,05,06,07,08,09,10,11","21","","","","2022/05/02 08:45:10.000000","2022/05/02 08:48:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:51:18.861593","UpdateStatus","2022/05/02 17:51:18.908633","0","等待中","09","MTX05","開盤與前盤收盤價差","OpenLastCloseUpDown","0.00","<=","-25.00","","","01,02,03,04,05,06,07,08,09,10,11","21","","","","2022/05/02 15:00:10.000000","2022/05/02 15:03:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:53:13.395443","UpdateStatus","2022/05/02 17:53:13.443445","0","等待中","10","MTX05","成交最高價差","DealHigh","0.00","<=","-25.00","","","01,02,03,04,05,06,07,08,09,10,11","21","","","","2022/05/02 08:45:10.000000","2022/05/02 13:44:00.000000",""
"ButtonSaveTriggerRule_Click","2022/05/02 17:53:43.860418","UpdateStatus","2022/05/02 17:53:43.913864","0","等待中","11","MTX05","成交最高價差","DealHigh","0.00","<=","-25.00","","","01,02,03,04,05,06,07,08,09,10,11","21","","","","2022/05/02 15:00:10.000000","2022/05/03 04:59:00.000000",""
